,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,2.01571e+09,1.0,1.0
1,MuonExists,1.88122e+09,0.9332790927266323,0.9332790927266323
2,MuonPt>7GeV,7.23949e+08,0.38482952552067273,0.35915335043235386
3,abs(MuonEta)<1.5,5.70212e+08,0.7876411183660728,0.28288394659946126
4,MuonHLTRequirement,1.44938e+08,0.25418265487222297,0.0719041925673832
5,MuonQuality,1.40552e+08,0.9697387848597331,0.06972828432661445
6,HLT,1.40552e+08,1.0,0.06972828432661445
7,nCscRechitClusters>0,1.06527e+07,0.07579187773919972,0.005284837600646918
8,CscClusterSize>=50,6.85934e+06,0.6439062397326499,0.003402939907030277
9,CscPassOverlapLeadMuon,6.21956e+06,0.9067286356996446,0.0030855430592694384
10,CscOverlapGenLLP,4.91676e+06,0.7905318061084707,0.0024392199274697254
11,CscPassME1112Veto,2.8758e+06,0.5848973714397286,0.0014266933239404477
12,CscPassMB1Veto,2.85576e+06,0.9930315042770708,0.001416751417614637
13,CscPassRB1Veto,2.83064e+06,0.991203742611424,0.0014042893074896687
14,CscPassRE12Veto,2.80884e+06,0.9922985614560664,0.001393474259690134
15,CscPassMuonVeto,2.79203e+06,0.9940153230515089,0.0013851347664098506
16,CscPassClusterTime,2.78423e+06,0.9972063337428323,0.0013812651621513015
17,CscPassClusterTimeSpread,2.71675e+06,0.9757634965502132,0.0013477881242837512
18,CscPassClusterEta,1.5004e+06,0.5522775374988498,0.0007443531063496237
19,CscPassID,1.17114e+06,0.7805518528392429,0.0005810061963278447
