,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,7.36291e+06,1.0,1.0
1,MuonExists,7.36242e+06,0.9999334502255223,0.9999334502255223
2,MuonPt>7GeV,3.16894e+06,0.43042097571179044,0.4303923312929263
3,abs(MuonEta)<1.5,2.59161e+06,0.8178160520552614,0.35198175721284114
4,MuonHLTRequirement,1.01024e+06,0.38981173864894797,0.13720662075184947
5,MuonQuality,993116,0.9830495723788407,0.1348809098576514
6,HLT,993116,1.0,0.1348809098576514
7,nCscRechitClusters>0,82039,0.0826076712086,0.01114219785383768
8,CscClusterSize>=50,53047,0.6466071015005058,0.00720462425861514
9,CscPassOverlapLeadMuon,48976,0.9232567345938507,0.0066517178669846565
10,CscOverlapGenLLP,38183,0.7796267559621038,0.005185857222212414
11,CscPassME1112Veto,22202,0.5814629547180683,0.0030153838631736636
12,CscPassMB1Veto,22047,0.9930186469687415,0.0029943324039000884
13,CscPassRB1Veto,21822,0.9897945298680092,0.002963773833986834
14,CscPassRE12Veto,21651,0.9921638713225186,0.002940549320852761
15,CscPassMuonVeto,21526,0.9942265946145674,0.0029235723375676194
16,CscPassClusterTime,21382,0.993310415311716,0.0029040148528231367
17,CscPassClusterTimeSpread,20870,0.9760546253858385,0.0028344771292871974
18,CscPassClusterEta,11697,0.560469573550551,0.0015886381878903858
19,CscPassID,9326,0.7972984525946823,0.0012666187689378248
