,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,2193.3194021847344,0.0006447823153182419,0.0006447823153182419
1,MuonExists,2193.253291345986,0.0006447531632273912,0.0006447531632273912
2,MuonPt>7GeV,1498.2489779739549,0.0003771981165792901,0.0003771717607666356
3,abs(MuonEta)<1.5,1367.6110558195996,0.0008249001014312373,0.00033502562234542386
4,MuonHLTRequirement,814.521331826245,0.0005068754395158052,0.00018061465524385408
5,MuonQuality,807.7221056774415,0.0017145865922604277,0.00017892643600801597
6,HLT,807.7221056774415,0.0017508664829557752,0.00017892643600801597
7,nCscRechitClusters>0,245.0550958458118,0.0003925185703593274,5.125708171907026e-05
8,CscClusterSize>=50,196.22690946962396,0.004186114351122098,4.095302209809814e-05
9,CscPassOverlapLeadMuon,188.61601204563732,0.006794480940186932,3.9352719371836444e-05
10,CscOverlapGenLLP,168.76907299620981,0.006365716125400485,3.5186089490527366e-05
11,CscPassME1112Veto,133.88054376943649,0.0059997149862135064,2.7881829820690172e-05
12,CscPassMB1Veto,132.68760303811354,0.010422587495881425,2.76324792079657e-05
13,CscPassRB1Veto,132.09844813622905,0.010587364117779993,2.7509342008835403e-05
14,CscPassRE12Veto,131.30879635424276,0.010609998983535459,2.734430894968857e-05
15,CscPassMuonVeto,129.97692102831178,0.0106069640941103,2.706597797285448e-05
16,CscPassClusterTime,129.84991336154215,0.010864556070271177,2.703943788466601e-05
17,CscPassClusterTimeSpread,127.43625857659192,0.010589819968927959,2.653512098295394e-05
18,CscPassClusterEta,95.0263121456368,0.0072990688250463,1.9771851324709185e-05
19,CscPassID,85.58621384311844,0.012755499300429744,1.7804527153208005e-05
