,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,7.55996e+06,1.0,1.0
1,MuonExists,7.55941e+06,0.999927248292319,0.999927248292319
2,MuonPt>7GeV,3.27966e+06,0.4338513190844259,0.43381975566008285
3,abs(MuonEta)<1.5,2.67506e+06,0.8156516224242757,0.35384578754384943
4,MuonHLTRequirement,1.03961e+06,0.3886305353898604,0.137515277858613
5,MuonQuality,1.02185e+06,0.9829166706745799,0.13516605907967766
6,HLT,1.02185e+06,1.0,0.13516605907967766
7,nCscRechitClusters>0,80361,0.07864265792435289,0.010629818147185964
8,CscClusterSize>=50,50512,0.6285636067246549,0.006681516833422399
9,CscPassOverlapLeadMuon,46361,0.9178215077605322,0.006132439854179122
10,CscOverlapGenLLP,35215,0.7595824076271004,0.004658093429065762
11,CscPassME1112Veto,20358,0.5781059207723981,0.00269287139085392
12,CscPassMB1Veto,20196,0.9920424403183024,0.0026714427060460636
13,CscPassRB1Veto,20006,0.9905921964745494,0.002646310297938084
14,CscPassRE12Veto,19842,0.9918024592622213,0.0026246170614659336
15,CscPassMuonVeto,19722,0.9939522225582098,0.0026087439616082624
16,CscPassClusterTime,19666,0.9971605313862691,0.002601336515008016
17,CscPassClusterTimeSpread,19129,0.972693989626767,0.0025303043931449373
18,CscPassClusterEta,10555,0.5517800198651263,0.0013961714083143297
19,CscPassID,8238,0.7804831833254382,0.0010896883052291281
