,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,2111.5491943120815,0.0006697516525698704,0.0006697516525698704
1,MuonExists,2111.4734192028086,0.0006697156010211183,0.0006697156010211183
2,MuonPt>7GeV,1396.4956140282002,0.00037554466117995097,0.0003755136072225423
3,abs(MuonEta)<1.5,1262.1251918886653,0.0008723265470746851,0.00032978730261026877
4,MuonHLTRequirement,782.5496789341876,0.0005780198898698343,0.00018717857588964985
5,MuonQuality,775.6887262297938,0.001783507100053059,0.0001853418169103173
6,HLT,775.6887262297938,0.0018231714791664274,0.0001853418169103173
7,nCscRechitClusters>0,212.25927541570474,0.00036573914920100763,4.784620569484566e-05
8,CscClusterSize>=50,165.14841809717706,0.004644378587679468,3.715320449037957e-05
9,CscPassOverlapLeadMuon,157.94302770302968,0.008013009147076472,3.552299701492337e-05
10,CscOverlapGenLLP,135.35878250043476,0.007146089858049896,3.0421073235370875e-05
11,CscPassME1112Veto,102.18610473053565,0.006988068705962688,2.2945493050880954e-05
12,CscPassMB1Veto,101.88228501560023,0.01377794239061924,2.287711282372482e-05
13,CscPassRB1Veto,101.39526616169022,0.013781526297992688,2.2767503206803253e-05
14,CscPassRE12Veto,101.02969860392537,0.0138722146884968,2.2685230087234646e-05
15,CscPassMuonVeto,100.81170566953026,0.01395273369064588,2.263617046920698e-05
16,CscPassClusterTime,100.65783625729296,0.013996170681803446,2.2601542374992276e-05
17,CscPassClusterTimeSpread,99.30256794262674,0.013767550897816994,2.2296556595548386e-05
18,CscPassClusterEta,72.6636084983398,0.009130883523002124,1.6306905363645205e-05
19,CscPassID,63.968742366877905,0.016141097790385507,1.4353724428957663e-05
