,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,4.59206e+06,1.0,1.0
1,MuonExists,4.59178e+06,0.9999390251869531,0.9999390251869531
2,MuonPt>7GeV,2.19459e+06,0.477938838533205,0.4779096963018776
3,abs(MuonEta)<1.5,1.83757e+06,0.8373181323162868,0.40016245432333203
4,MuonHLTRequirement,629772,0.3427200052242908,0.13714367843625735
5,MuonQuality,618884,0.9827112034196502,0.134772629277492
6,HLT,618884,1.0,0.134772629277492
7,nCscRechitClusters>0,54099,0.08741379644650694,0.01178098718222323
8,CscClusterSize>=50,33870,0.6260744191205013,0.007375774706776479
9,CscPassOverlapLeadMuon,31129,0.9190729258931207,0.0067788748404855334
10,CscOverlapGenLLP,24464,0.7858909698352019,0.005327456522780626
11,CscPassME1112Veto,15212,0.6218116415958143,0.0033126744859605494
12,CscPassMB1Veto,14945,0.9824480673152775,0.003254530646376572
13,CscPassRB1Veto,14786,0.9893609902977585,0.003219905663253529
14,CscPassRE12Veto,14618,0.9886379007168944,0.0031833207754254082
15,CscPassMuonVeto,14270,0.9761937337529074,0.0031075377934957297
16,CscPassClusterTime,14228,0.9970567624386826,0.0030983915715386994
17,CscPassClusterTimeSpread,13683,0.9616952488051729,0.0029797084532867603
18,CscPassClusterEta,7468,0.5457867426733903,0.001626285370835747
19,CscPassID,5915,0.7920460632029994,0.0012880929256150835
