cTau:,30,0.0540318,0.0389211,0.076646,0.0598018
cTau:,50,0.00461728,0.00332599,0.00656817,0.00511419
cTau:,70,0.00141687,0.00101721,0.00202118,0.00156844
cTau:,100,0.000536016,0.00038482,0.000764631,0.000592438
cTau:,300,9.27628e-05,6.65968e-05,0.00012715,0.000101816
cTau:,500,6.62075e-05,4.79261e-05,8.91673e-05,7.1939e-05
cTau:,700,6.10038e-05,4.45186e-05,8.16727e-05,6.61863e-05
cTau:,1000,6.255e-05,4.57939e-05,8.37428e-05,6.78685e-05
cTau:,3000,0.000125084,9.23015e-05,0.000167464,0.000135766
cTau:,5000,0.000222654,0.000164055,0.000298093,0.000242169
