cTau:,10,0.16689,0.118404,0.242062,0.18488
cTau:,30,0.00207189,0.0014573,0.00303814,0.00229242
cTau:,50,0.000646864,0.000454194,0.000922755,0.000714916
cTau:,70,0.000373649,0.000263269,0.000524077,0.000411488
cTau:,100,0.000243549,0.000173981,0.000336746,0.000266164
cTau:,300,0.00014114,0.000104313,0.000191211,0.000152671
cTau:,500,0.000154373,0.000114979,0.000207907,0.000166742
cTau:,700,0.000181932,0.000135505,0.000245023,0.000196367
cTau:,1000,0.000235322,0.000175271,0.000316929,0.000253756
cTau:,3000,0.000800741,0.00059364,0.00107524,0.000863011
cTau:,5000,0.00159648,0.00118357,0.00215011,0.00172133
