,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,44419.25258263583,3.183785138532324e-05,3.183785138532324e-05
1,MuonExists,42968.2440879308,3.0298981304097273e-05,3.0298981304097273e-05
2,MuonPt>7GeV,28168.47528710065,1.82431790866261e-05,1.6905091568572232e-05
3,abs(MuonEta)<1.5,25313.474672592856,4.289156584095055e-05,1.4766504058004448e-05
4,MuonHLTRequirement,12056.367612179052,2.0840485169223797e-05,6.331540521645068e-06
5,MuonQuality,11876.110474393541,0.00011468583326921465,6.230522727682703e-06
6,HLT,11876.110474393541,0.00011908053275711149,6.230522727682703e-06
7,nCscRechitClusters>0,3575.667769801887,2.6475936033115306e-05,1.818097757015684e-06
8,CscClusterSize>=50,2899.0739900871795,0.0002919131139032222,1.4724474955557655e-06
9,CscPassOverlapLeadMuon,2775.3846580249015,0.00045714910270680867,1.4093756722989292e-06
10,CscOverlapGenLLP,2524.8445496703357,0.0004431282169125025,1.2817183634349865e-06
11,CscPassME1112Veto,2015.77776552873,0.0004046238926960071,1.022696789454808e-06
12,CscPassMB1Veto,1997.3182019898582,0.0006919718865199813,1.013312419577117e-06
13,CscPassRB1Veto,1987.9587520871755,0.000703088989916878,1.008554515018269e-06
14,CscPassRE12Veto,1977.2253285854904,0.0007056413226184244,1.0030983117213257e-06
15,CscPassMuonVeto,1955.9729036977992,0.000703771240969151,9.922954200745653e-07
16,CscPassClusterTime,1953.921697509908,0.0007218862426531557,9.91252800635305e-07
17,CscPassClusterTimeSpread,1919.1690910391403,0.0007046150830562341,9.735891536226302e-07
18,CscPassClusterEta,1437.1256034181563,0.000487454163221575,7.287514225099876e-07
19,CscPassID,1300.1346084156055,0.0008488841594348346,6.592221303565511e-07
