,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,45207.96390018024,3.1282398948461746e-05,3.1282398948461746e-05
1,MuonExists,43688.21351348668,2.9726993465165188e-05,2.9726993465165188e-05
2,MuonPt>7GeV,27365.416130583508,1.6917958668297287e-05,1.5651775235433156e-05
3,abs(MuonEta)<1.5,24257.637972399538,4.328691151361538e-05,1.34698429662759e-05
4,MuonHLTRequirement,12165.648359212097,2.3129020113590974e-05,6.164348910341678e-06
5,MuonQuality,11975.474938389709,0.00011353843916137065,6.0616292857794075e-06
6,HLT,11975.474938389709,0.00011809248231479813,6.0616292857794075e-06
7,nCscRechitClusters>0,3208.3952374980236,2.3160863773708476e-05,1.573797777886695e-06
8,CscClusterSize>=50,2524.3276332520704,0.00031203133705097003,1.2370629943747422e-06
9,CscPassOverlapLeadMuon,2400.995626818175,0.0005200080413674271,1.1764490228262237e-06
10,CscOverlapGenLLP,2100.302359185458,0.000484057918778005,1.0287743145867753e-06
11,CscPassME1112Veto,1602.797554278144,0.0004570545923364901,7.847323452978296e-07
12,CscPassMB1Veto,1598.355404783304,0.0008786768559002997,7.825547425133177e-07
13,CscPassRB1Veto,1590.81739995513,0.0008785460654039202,7.788595606084315e-07
14,CscPassRE12Veto,1585.6796650017304,0.000884684641430792,7.763410447193488e-07
15,CscPassMuonVeto,1581.9102376557273,0.0008886888390458291,7.744932918487541e-07
16,CscPassClusterTime,1579.613876869914,0.0008920455801865469,7.733676361355252e-07
17,CscPassClusterTimeSpread,1559.919869736904,0.0008786343364199839,7.637140528319829e-07
18,CscPassClusterEta,1143.0091863147907,0.0005823287079441917,5.594465403270742e-07
19,CscPassID,1004.6790532304334,0.0010238430777320254,4.917050534165023e-07
