,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,44896.65911846894,3.1499305073934476e-05,3.1499305073934476e-05
1,MuonExists,43373.03309661431,2.9918445202825794e-05,2.9918445202825794e-05
2,MuonPt>7GeV,26906.3003774209,1.6831102167310828e-05,1.5561812056215825e-05
3,abs(MuonEta)<1.5,23879.112211303,4.4101196417021885e-05,1.3417877150307907e-05
4,MuonHLTRequirement,12039.01989366244,2.3644774391515755e-05,6.183595415577018e-06
5,MuonQuality,11855.462875822268,0.00011479965130420485,6.083131489780801e-06
6,HLT,11855.462875822268,0.00011928792466274821,6.083131489780801e-06
7,nCscRechitClusters>0,3263.847422904447,2.408557113053727e-05,1.623477836593478e-06
8,CscClusterSize>=50,2619.034173125658,0.0003152245188023144,1.3015198597333775e-06
9,CscPassOverlapLeadMuon,2493.904569144537,0.0005020441895718587,1.2391411119434197e-06
10,CscOverlapGenLLP,2217.3768285972506,0.0004770576484300954,1.1013883526708218e-06
11,CscPassME1112Veto,1695.818386502517,0.00043421108111279665,8.419007008574367e-07
12,CscPassMB1Veto,1689.8994052901492,0.0008295818764302877,8.389580174165737e-07
13,CscPassRB1Veto,1682.4505936282349,0.000831339590926527,8.352548247905848e-07
14,CscPassRE12Veto,1675.95942671653,0.0008357109100774681,8.320277834457055e-07
15,CscPassMuonVeto,1670.936862960417,0.0008400348131571756,8.295308843416512e-07
16,CscPassClusterTime,1668.6012105952698,0.0008445861226017387,8.283697572029494e-07
17,CscPassClusterTimeSpread,1648.256654771944,0.0008321223901524763,8.182561137923822e-07
18,CscPassClusterEta,1224.9081598226048,0.0005617441242995857,6.079068700937774e-07
19,CscPassID,1082.192219524794,0.0009624422163787534,5.370348681439422e-07
