,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,44913.695016108395,3.148735729415904e-05,3.148735729415904e-05
1,MuonExists,43448.360153174945,2.996729561640253e-05,2.996729561640253e-05
2,MuonPt>7GeV,28867.24787713578,1.8359282633360012e-05,1.7011161417147454e-05
3,abs(MuonEta)<1.5,26002.3075899044,4.199556095058754e-05,1.4894390554395441e-05
4,MuonHLTRequirement,12145.575326018936,1.982667165310717e-05,6.237148879103967e-06
5,MuonQuality,11957.466286801731,0.00011375093314409926,6.134114807230082e-06
6,HLT,11957.466286801731,0.00011827033657908436,6.134114807230082e-06
7,nCscRechitClusters>0,3485.656322703086,2.5393121186569828e-05,1.7331292194996654e-06
8,CscClusterSize>=50,2792.2016402831655,0.00029445779811800287,1.386841525357016e-06
9,CscPassOverlapLeadMuon,2664.6725877675854,0.0004724447578486776,1.3232724696600293e-06
10,CscOverlapGenLLP,2405.208930633678,0.0004563226765280402,1.194035059858153e-06
11,CscPassME1112Veto,1913.5412198330089,0.00042268688305791333,9.494542725798527e-07
12,CscPassMB1Veto,1896.4941339218533,0.0007292163422118896,9.409807868659588e-07
13,CscPassRB1Veto,1885.8791053511356,0.00073945275653485,9.357046478624153e-07
14,CscPassRE12Veto,1874.6146270633867,0.0007431941369745249,9.301058746671094e-07
15,CscPassMuonVeto,1851.01053481605,0.0007402284327673225,9.183745212585593e-07
16,CscPassClusterTime,1848.604879361731,0.0007625337978882806,9.17178941107172e-07
17,CscPassClusterTimeSpread,1814.9435252921783,0.0007442795705897872,9.004504979285698e-07
18,CscPassClusterEta,1344.6263421486283,0.0005080239619770172,6.668660103642094e-07
19,CscPassID,1199.4248621735335,0.0008889662415457048,5.947990711998216e-07
